hostname,os,environment,country,node
ADIRL005,AIX,Development,Ireland,5
SIITA003,Solaris,Integration,Italy,3
SIIRL013,Solaris,Integration,Ireland,13
LSFRA005,Linux,Staging,France,5
SSDEU011,Solaris,Staging,Germany,11
LIIRL010,Linux,Integration,Ireland,10
SIIRL014,Solaris,Integration,Ireland,14
APIRL014,AIX,Production,Ireland,14
STESP008,Solaris,Testing,Spain,8
AIIRL009,AIX,Integration,Ireland,9
ATESP007,AIX,Testing,Spain,7
SDDEU005,Solaris,Development,Germany,5
SPDEU008,Solaris,Production,Germany,8
LTDEU012,Linux,Testing,Germany,12
LPNOR003,Linux,Production,Norway,3
HIDEU001,HP-UX,Integration,Germany,1
SSESP007,Solaris,Staging,Spain,7
SPESP011,Solaris,Production,Spain,11
SSDEU012,Solaris,Staging,Germany,12
LTIRL021,Linux,Testing,Ireland,21
LSITA012,Linux,Staging,Italy,12
HPIRL008,HP-UX,Production,Ireland,8
LPESP018,Linux,Production,Spain,18
APDEU011,AIX,Production,Germany,11
LTESP013,Linux,Testing,Spain,13
AIIRL010,AIX,Integration,Ireland,10
LTDEU013,Linux,Testing,Germany,13
LPITA013,Linux,Production,Italy,13
HPITA007,HP-UX,Production,Italy,7
APIRL015,AIX,Production,Ireland,15
ATDEU004,AIX,Testing,Germany,4
ATDEU005,AIX,Testing,Germany,5
ASIRL011,AIX,Staging,Ireland,11
LSITA013,Linux,Staging,Italy,13
ATFRA006,AIX,Testing,France,6
LTNOR006,Linux,Testing,Norway,6
STFRA003,Solaris,Testing,France,3
STITA010,Solaris,Testing,Italy,10
HTIRL010,HP-UX,Testing,Ireland,10
LTESP014,Linux,Testing,Spain,14
SPIRL023,Solaris,Production,Ireland,23
HDFRA002,HP-UX,Development,France,2
LPNOR004,Linux,Production,Norway,4
SPITA012,Solaris,Production,Italy,12
LTIRL022,Linux,Testing,Ireland,22
SIDEU009,Solaris,Integration,Germany,9
HSIRL004,HP-UX,Staging,Ireland,4
LIIRL011,Linux,Integration,Ireland,11
LSIRL019,Linux,Staging,Ireland,19
SPDEU009,Solaris,Production,Germany,9
LTIRL023,Linux,Testing,Ireland,23
ASIRL012,AIX,Staging,Ireland,12
LSESP009,Linux,Staging,Spain,9
LPESP019,Linux,Production,Spain,19
STIRL016,Solaris,Testing,Ireland,16
LDESP006,Linux,Development,Spain,6
SPDEU010,Solaris,Production,Germany,10
STDEU014,Solaris,Testing,Germany,14
SIESP003,Solaris,Integration,Spain,3
LDIRL005,Linux,Development,Ireland,5
LTESP015,Linux,Testing,Spain,15
AIIRL011,AIX,Integration,Ireland,11
SPFRA008,Solaris,Production,France,8
LSIRL020,Linux,Staging,Ireland,20
HTITA005,HP-UX,Testing,Italy,5
SSESP008,Solaris,Staging,Spain,8
SSIRL013,Solaris,Staging,Ireland,13
ASIRL013,AIX,Staging,Ireland,13
STIRL017,Solaris,Testing,Ireland,17
LPESP020,Linux,Production,Spain,20
SSIRL014,Solaris,Staging,Ireland,14
LSESP010,Linux,Staging,Spain,10
STDEU015,Solaris,Testing,Germany,15
AIDEU003,AIX,Integration,Germany,3
SPESP012,Solaris,Production,Spain,12
STIRL018,Solaris,Testing,Ireland,18
SSESP009,Solaris,Staging,Spain,9
STDEU016,Solaris,Testing,Germany,16
LTIRL024,Linux,Testing,Ireland,24
LDDEU011,Linux,Development,Germany,11
SPESP013,Solaris,Production,Spain,13
SSIRL015,Solaris,Staging,Ireland,15
SSFRA006,Solaris,Staging,France,6
ASESP006,AIX,Staging,Spain,6
SDNOR003,Solaris,Development,Norway,3
LTESP016,Linux,Testing,Spain,16
LDDEU012,Linux,Development,Germany,12
HPIRL009,HP-UX,Production,Ireland,9
LPIRL030,Linux,Production,Ireland,30
LDDEU013,Linux,Development,Germany,13
LPIRL031,Linux,Production,Ireland,31
LPESP021,Linux,Production,Spain,21
LPITA014,Linux,Production,Italy,14
LTITA013,Linux,Testing,Italy,13
LPDEU020,Linux,Production,Germany,20
STESP009,Solaris,Testing,Spain,9
LPIRL032,Linux,Production,Ireland,32
AIESP001,AIX,Integration,Spain,1
LTDEU014,Linux,Testing,Germany,14
LSDEU018,Linux,Staging,Germany,18
LTITA014,Linux,Testing,Italy,14
ASIRL014,AIX,Staging,Ireland,14
ASDEU007,AIX,Staging,Germany,7
ASDEU008,AIX,Staging,Germany,8
SSITA014,Solaris,Staging,Italy,14
LPESP022,Linux,Production,Spain,22
LPFRA007,Linux,Production,France,7
ASDEU009,AIX,Staging,Germany,9
SIESP004,Solaris,Integration,Spain,4
SPIRL024,Solaris,Production,Ireland,24
SPDEU011,Solaris,Production,Germany,11
LTDEU015,Linux,Testing,Germany,15
SIESP005,Solaris,Integration,Spain,5
LIESP003,Linux,Integration,Spain,3
HTITA006,HP-UX,Testing,Italy,6
LTIRL025,Linux,Testing,Ireland,25
SIIRL015,Solaris,Integration,Ireland,15
LDITA005,Linux,Development,Italy,5
LIESP004,Linux,Integration,Spain,4
STDEU017,Solaris,Testing,Germany,17
LPITA015,Linux,Production,Italy,15
LIIRL012,Linux,Integration,Ireland,12
HDIRL004,HP-UX,Development,Ireland,4
LPIRL033,Linux,Production,Ireland,33
HSDEU002,HP-UX,Staging,Germany,2
APIRL016,AIX,Production,Ireland,16
SSITA015,Solaris,Staging,Italy,15
LIITA005,Linux,Integration,Italy,5
LPITA016,Linux,Production,Italy,16
SSITA016,Solaris,Staging,Italy,16
APITA003,AIX,Production,Italy,3
LSESP011,Linux,Staging,Spain,11
LPDEU021,Linux,Production,Germany,21
LSIRL021,Linux,Staging,Ireland,21
LSESP012,Linux,Staging,Spain,12
LTESP017,Linux,Testing,Spain,17
ATITA007,AIX,Testing,Italy,7
SDIRL004,Solaris,Development,Ireland,4
ATDEU006,AIX,Testing,Germany,6
SPFRA009,Solaris,Production,France,9
ADFRA003,AIX,Development,France,3
APNOR002,AIX,Production,Norway,2
LPESP023,Linux,Production,Spain,23
LDIRL006,Linux,Development,Ireland,6
STESP010,Solaris,Testing,Spain,10
APDEU012,AIX,Production,Germany,12
LPITA017,Linux,Production,Italy,17
SPNOR004,Solaris,Production,Norway,4
SSIRL016,Solaris,Staging,Ireland,16
SPESP014,Solaris,Production,Spain,14
HSESP006,HP-UX,Staging,Spain,6
APESP008,AIX,Production,Spain,8
ATESP008,AIX,Testing,Spain,8
ASFRA005,AIX,Staging,France,5
ASFRA006,AIX,Staging,France,6
LPIRL034,Linux,Production,Ireland,34
LIITA006,Linux,Integration,Italy,6
SSIRL017,Solaris,Staging,Ireland,17
LTIRL026,Linux,Testing,Ireland,26
SPIRL025,Solaris,Production,Ireland,25
SSITA017,Solaris,Staging,Italy,17
LSFRA006,Linux,Staging,France,6
SIIRL016,Solaris,Integration,Ireland,16
LTDEU016,Linux,Testing,Germany,16
LIDEU011,Linux,Integration,Germany,11
LSIRL022,Linux,Staging,Ireland,22
LTIRL027,Linux,Testing,Ireland,27
SPFRA010,Solaris,Production,France,10
LPIRL035,Linux,Production,Ireland,35
LPITA018,Linux,Production,Italy,18
APESP009,AIX,Production,Spain,9
APIRL017,AIX,Production,Ireland,17
LTITA015,Linux,Testing,Italy,15
SPNOR005,Solaris,Production,Norway,5
LTITA016,Linux,Testing,Italy,16
ASITA005,AIX,Staging,Italy,5
HTNOR003,HP-UX,Testing,Norway,3
HTITA007,HP-UX,Testing,Italy,7
ATNOR001,AIX,Testing,Norway,1
LPNOR005,Linux,Production,Norway,5
APITA004,AIX,Production,Italy,4
LSDEU019,Linux,Staging,Germany,19
HTESP009,HP-UX,Testing,Spain,9
LPITA019,Linux,Production,Italy,19
LSESP013,Linux,Staging,Spain,13
ATESP009,AIX,Testing,Spain,9
AIESP002,AIX,Integration,Spain,2
LSIRL023,Linux,Staging,Ireland,23
SDIRL005,Solaris,Development,Ireland,5
STIRL019,Solaris,Testing,Ireland,19
SIIRL017,Solaris,Integration,Ireland,17
LSDEU020,Linux,Staging,Germany,20
SPDEU012,Solaris,Production,Germany,12
LSITA014,Linux,Staging,Italy,14
SIIRL018,Solaris,Integration,Ireland,18
HSESP007,HP-UX,Staging,Spain,7
APIRL018,AIX,Production,Ireland,18
SDNOR004,Solaris,Development,Norway,4
LPIRL036,Linux,Production,Ireland,36
HIDEU002,HP-UX,Integration,Germany,2
LSIRL024,Linux,Staging,Ireland,24
SIDEU010,Solaris,Integration,Germany,10
LTITA017,Linux,Testing,Italy,17
LIITA007,Linux,Integration,Italy,7
SDESP004,Solaris,Development,Spain,4
STNOR003,Solaris,Testing,Norway,3
LSFRA007,Linux,Staging,France,7
HPITA008,HP-UX,Production,Italy,8
LPIRL037,Linux,Production,Ireland,37
SDIRL006,Solaris,Development,Ireland,6
APIRL019,AIX,Production,Ireland,19
HPITA009,HP-UX,Production,Italy,9
SPESP015,Solaris,Production,Spain,15
ATDEU007,AIX,Testing,Germany,7
ATITA008,AIX,Testing,Italy,8
SPDEU013,Solaris,Production,Germany,13
LTFRA006,Linux,Testing,France,6
ASITA006,AIX,Staging,Italy,6
SPDEU014,Solaris,Production,Germany,14
APESP010,AIX,Production,Spain,10
SPIRL026,Solaris,Production,Ireland,26
ASDEU010,AIX,Staging,Germany,10
ATNOR002,AIX,Testing,Norway,2
SSFRA007,Solaris,Staging,France,7
LDDEU014,Linux,Development,Germany,14
LTDEU017,Linux,Testing,Germany,17
ATIRL008,AIX,Testing,Ireland,8
SSIRL018,Solaris,Staging,Ireland,18
LPITA020,Linux,Production,Italy,20
LTIRL028,Linux,Testing,Ireland,28
LTESP018,Linux,Testing,Spain,18
APESP011,AIX,Production,Spain,11
LPITA021,Linux,Production,Italy,21
LSITA015,Linux,Staging,Italy,15
LSFRA008,Linux,Staging,France,8
LSDEU021,Linux,Staging,Germany,21
HPITA010,HP-UX,Production,Italy,10
LPESP024,Linux,Production,Spain,24
LPIRL038,Linux,Production,Ireland,38
LSIRL025,Linux,Staging,Ireland,25
LPIRL039,Linux,Production,Ireland,39
SSDEU013,Solaris,Staging,Germany,13
SSIRL019,Solaris,Staging,Ireland,19
SIITA004,Solaris,Integration,Italy,4
LTITA018,Linux,Testing,Italy,18
STIRL020,Solaris,Testing,Ireland,20
ASDEU011,AIX,Staging,Germany,11
SIITA005,Solaris,Integration,Italy,5
LPFRA008,Linux,Production,France,8
LPDEU022,Linux,Production,Germany,22
ASIRL015,AIX,Staging,Ireland,15
ASDEU012,AIX,Staging,Germany,12
SPITA013,Solaris,Production,Italy,13
LIIRL013,Linux,Integration,Ireland,13
STITA011,Solaris,Testing,Italy,11
LSIRL026,Linux,Staging,Ireland,26
LPFRA009,Linux,Production,France,9
HDFRA003,HP-UX,Development,France,3
ASDEU013,AIX,Staging,Germany,13
LPIRL040,Linux,Production,Ireland,40
LTESP019,Linux,Testing,Spain,19
SIDEU011,Solaris,Integration,Germany,11
LSIRL027,Linux,Staging,Ireland,27
STIRL021,Solaris,Testing,Ireland,21
ATFRA007,AIX,Testing,France,7
SIIRL019,Solaris,Integration,Ireland,19
SPDEU015,Solaris,Production,Germany,15
LPDEU023,Linux,Production,Germany,23
LPDEU024,Linux,Production,Germany,24
SSIRL020,Solaris,Staging,Ireland,20
SPDEU016,Solaris,Production,Germany,16
ASIRL016,AIX,Staging,Ireland,16
AIFRA001,AIX,Integration,France,1
LDIRL007,Linux,Development,Ireland,7
AIIRL012,AIX,Integration,Ireland,12
STIRL022,Solaris,Testing,Ireland,22
SIESP006,Solaris,Integration,Spain,6
LTDEU018,Linux,Testing,Germany,18
LTDEU019,Linux,Testing,Germany,19
LPESP025,Linux,Production,Spain,25
SPESP016,Solaris,Production,Spain,16
LPESP026,Linux,Production,Spain,26
SIIRL020,Solaris,Integration,Ireland,20
SSFRA008,Solaris,Staging,France,8
SPIRL027,Solaris,Production,Ireland,27
LIESP005,Linux,Integration,Spain,5
HDIRL005,HP-UX,Development,Ireland,5
LTITA019,Linux,Testing,Italy,19
HPNOR002,HP-UX,Production,Norway,2
AIDEU004,AIX,Integration,Germany,4
AIESP003,AIX,Integration,Spain,3
LIIRL014,Linux,Integration,Ireland,14
APESP012,AIX,Production,Spain,12
LSITA016,Linux,Staging,Italy,16
STIRL023,Solaris,Testing,Ireland,23
STDEU018,Solaris,Testing,Germany,18
ASESP007,AIX,Staging,Spain,7
HDDEU003,HP-UX,Development,Germany,3
SPITA014,Solaris,Production,Italy,14
HSIRL005,HP-UX,Staging,Ireland,5
SIIRL021,Solaris,Integration,Ireland,21
LSESP014,Linux,Staging,Spain,14
LSIRL028,Linux,Staging,Ireland,28
APESP013,AIX,Production,Spain,13
LIDEU012,Linux,Integration,Germany,12
LINOR003,Linux,Integration,Norway,3
HTITA008,HP-UX,Testing,Italy,8
LSFRA009,Linux,Staging,France,9
STDEU019,Solaris,Testing,Germany,19
HTESP010,HP-UX,Testing,Spain,10
AIDEU005,AIX,Integration,Germany,5
SDNOR005,Solaris,Development,Norway,5
SPNOR006,Solaris,Production,Norway,6
LTITA020,Linux,Testing,Italy,20
ATESP010,AIX,Testing,Spain,10
LDNOR003,Linux,Development,Norway,3
LIIRL015,Linux,Integration,Ireland,15
HSESP008,HP-UX,Staging,Spain,8
LPIRL041,Linux,Production,Ireland,41
LTFRA007,Linux,Testing,France,7
APIRL020,AIX,Production,Ireland,20
LTESP020,Linux,Testing,Spain,20
HPESP003,HP-UX,Production,Spain,3
LPESP027,Linux,Production,Spain,27
APESP014,AIX,Production,Spain,14
ASNOR003,AIX,Staging,Norway,3
SSIRL021,Solaris,Staging,Ireland,21
LSDEU022,Linux,Staging,Germany,22
LTITA021,Linux,Testing,Italy,21
LSESP015,Linux,Staging,Spain,15
SPIRL028,Solaris,Production,Ireland,28
SPIRL029,Solaris,Production,Ireland,29
SDITA005,Solaris,Development,Italy,5
APIRL021,AIX,Production,Ireland,21
APIRL022,AIX,Production,Ireland,22
ADIRL006,AIX,Development,Ireland,6
SIIRL022,Solaris,Integration,Ireland,22
LPIRL042,Linux,Production,Ireland,42
LTIRL029,Linux,Testing,Ireland,29
SSITA018,Solaris,Staging,Italy,18
HTESP011,HP-UX,Testing,Spain,11
APFRA003,AIX,Production,France,3
STIRL024,Solaris,Testing,Ireland,24
APITA005,AIX,Production,Italy,5
STESP011,Solaris,Testing,Spain,11
ASITA007,AIX,Staging,Italy,7
APIRL023,AIX,Production,Ireland,23
LIESP006,Linux,Integration,Spain,6
APFRA004,AIX,Production,France,4
LSIRL029,Linux,Staging,Ireland,29
LSIRL030,Linux,Staging,Ireland,30
SSIRL022,Solaris,Staging,Ireland,22
STITA012,Solaris,Testing,Italy,12
SDIRL007,Solaris,Development,Ireland,7
LSESP016,Linux,Staging,Spain,16
LSDEU023,Linux,Staging,Germany,23
SDDEU006,Solaris,Development,Germany,6
SSESP010,Solaris,Staging,Spain,10
ATDEU008,AIX,Testing,Germany,8
SSIRL023,Solaris,Staging,Ireland,23
LTFRA008,Linux,Testing,France,8
SIIRL023,Solaris,Integration,Ireland,23
LSIRL031,Linux,Staging,Ireland,31
SPESP017,Solaris,Production,Spain,17
STDEU020,Solaris,Testing,Germany,20
LSDEU024,Linux,Staging,Germany,24
ASIRL017,AIX,Staging,Ireland,17
SDDEU007,Solaris,Development,Germany,7
LIIRL016,Linux,Integration,Ireland,16
LPESP028,Linux,Production,Spain,28
SDITA006,Solaris,Development,Italy,6
LIITA008,Linux,Integration,Italy,8
LTIRL030,Linux,Testing,Ireland,30
STFRA004,Solaris,Testing,France,4
LIITA009,Linux,Integration,Italy,9
SPDEU017,Solaris,Production,Germany,17
APITA006,AIX,Production,Italy,6
STIRL025,Solaris,Testing,Ireland,25
LTESP021,Linux,Testing,Spain,21
LDDEU015,Linux,Development,Germany,15
LDITA006,Linux,Development,Italy,6
LSIRL032,Linux,Staging,Ireland,32
SSIRL024,Solaris,Staging,Ireland,24
ASITA008,AIX,Staging,Italy,8
SIITA006,Solaris,Integration,Italy,6
LPIRL043,Linux,Production,Ireland,43
APFRA005,AIX,Production,France,5
LPITA022,Linux,Production,Italy,22
LPESP029,Linux,Production,Spain,29
LDIRL008,Linux,Development,Ireland,8
SIITA007,Solaris,Integration,Italy,7
ASIRL018,AIX,Staging,Ireland,18
STIRL026,Solaris,Testing,Ireland,26
LTITA022,Linux,Testing,Italy,22
SSITA019,Solaris,Staging,Italy,19
ASESP008,AIX,Staging,Spain,8
LTFRA009,Linux,Testing,France,9
APESP015,AIX,Production,Spain,15
SDITA007,Solaris,Development,Italy,7
SIITA008,Solaris,Integration,Italy,8
LPDEU025,Linux,Production,Germany,25
SSESP011,Solaris,Staging,Spain,11
APESP016,AIX,Production,Spain,16
APITA007,AIX,Production,Italy,7
SIITA009,Solaris,Integration,Italy,9
LIIRL017,Linux,Integration,Ireland,17
HSFRA003,HP-UX,Staging,France,3
ATESP011,AIX,Testing,Spain,11
STESP012,Solaris,Testing,Spain,12
HTIRL011,HP-UX,Testing,Ireland,11
LPFRA010,Linux,Production,France,10
SSIRL025,Solaris,Staging,Ireland,25
ASIRL019,AIX,Staging,Ireland,19
STITA013,Solaris,Testing,Italy,13
LPFRA011,Linux,Production,France,11
HSESP009,HP-UX,Staging,Spain,9
ATESP012,AIX,Testing,Spain,12
LIDEU013,Linux,Integration,Germany,13
SSESP012,Solaris,Staging,Spain,12
LPDEU026,Linux,Production,Germany,26
LDESP007,Linux,Development,Spain,7
ATESP013,AIX,Testing,Spain,13
LSIRL033,Linux,Staging,Ireland,33
APFRA006,AIX,Production,France,6
LSDEU025,Linux,Staging,Germany,25
LPESP030,Linux,Production,Spain,30
LTIRL031,Linux,Testing,Ireland,31
HTESP012,HP-UX,Testing,Spain,12
APIRL024,AIX,Production,Ireland,24
LPDEU027,Linux,Production,Germany,27
SPIRL030,Solaris,Production,Ireland,30
SDIRL008,Solaris,Development,Ireland,8
STIRL027,Solaris,Testing,Ireland,27
APFRA007,AIX,Production,France,7
ASFRA007,AIX,Staging,France,7
SSESP013,Solaris,Staging,Spain,13
ADESP003,AIX,Development,Spain,3
SSIRL026,Solaris,Staging,Ireland,26
ASIRL020,AIX,Staging,Ireland,20
SPESP018,Solaris,Production,Spain,18
STESP013,Solaris,Testing,Spain,13
SPITA015,Solaris,Production,Italy,15
HSDEU003,HP-UX,Staging,Germany,3
LIFRA004,Linux,Integration,France,4
LTIRL032,Linux,Testing,Ireland,32
ATESP014,AIX,Testing,Spain,14
LPITA023,Linux,Production,Italy,23
LIIRL018,Linux,Integration,Ireland,18
STESP014,Solaris,Testing,Spain,14
APITA008,AIX,Production,Italy,8
STNOR004,Solaris,Testing,Norway,4
HTDEU007,HP-UX,Testing,Germany,7
LPIRL044,Linux,Production,Ireland,44
LPIRL045,Linux,Production,Ireland,45
LTFRA010,Linux,Testing,France,10
SSESP014,Solaris,Staging,Spain,14
SSDEU014,Solaris,Staging,Germany,14
STITA014,Solaris,Testing,Italy,14
LIITA010,Linux,Integration,Italy,10
SPESP019,Solaris,Production,Spain,19
ATDEU009,AIX,Testing,Germany,9
LIESP007,Linux,Integration,Spain,7
STIRL028,Solaris,Testing,Ireland,28
LSDEU026,Linux,Staging,Germany,26
LTDEU020,Linux,Testing,Germany,20
HPIRL010,HP-UX,Production,Ireland,10
ASIRL021,AIX,Staging,Ireland,21
APIRL025,AIX,Production,Ireland,25
AIESP004,AIX,Integration,Spain,4
HSITA003,HP-UX,Staging,Italy,3
HTESP013,HP-UX,Testing,Spain,13
SSITA020,Solaris,Staging,Italy,20
LPIRL046,Linux,Production,Ireland,46
LSDEU027,Linux,Staging,Germany,27
ATESP015,AIX,Testing,Spain,15
LTIRL033,Linux,Testing,Ireland,33
LTITA023,Linux,Testing,Italy,23
STDEU021,Solaris,Testing,Germany,21
LPIRL047,Linux,Production,Ireland,47
LTFRA011,Linux,Testing,France,11
ASIRL022,AIX,Staging,Ireland,22
LPIRL048,Linux,Production,Ireland,48
APITA009,AIX,Production,Italy,9
STDEU022,Solaris,Testing,Germany,22
ASESP009,AIX,Staging,Spain,9
HTIRL012,HP-UX,Testing,Ireland,12
SSDEU015,Solaris,Staging,Germany,15
AIIRL013,AIX,Integration,Ireland,13
LIFRA005,Linux,Integration,France,5
LSIRL034,Linux,Staging,Ireland,34
LIITA011,Linux,Integration,Italy,11
LTFRA012,Linux,Testing,France,12
LSITA017,Linux,Staging,Italy,17
ASITA009,AIX,Staging,Italy,9
LSIRL035,Linux,Staging,Ireland,35
LSITA018,Linux,Staging,Italy,18
AIIRL014,AIX,Integration,Ireland,14
ATIRL009,AIX,Testing,Ireland,9
APDEU013,AIX,Production,Germany,13
HTNOR004,HP-UX,Testing,Norway,4
ASNOR004,AIX,Staging,Norway,4
APITA010,AIX,Production,Italy,10
LSESP017,Linux,Staging,Spain,17
LTIRL034,Linux,Testing,Ireland,34
SSITA021,Solaris,Staging,Italy,21
STESP015,Solaris,Testing,Spain,15
LTDEU021,Linux,Testing,Germany,21
HIDEU003,HP-UX,Integration,Germany,3
APESP017,AIX,Production,Spain,17
SPDEU018,Solaris,Production,Germany,18
ASIRL023,AIX,Staging,Ireland,23
LPDEU028,Linux,Production,Germany,28
LPIRL049,Linux,Production,Ireland,49
SDIRL009,Solaris,Development,Ireland,9
SPDEU019,Solaris,Production,Germany,19
APESP018,AIX,Production,Spain,18
HPDEU007,HP-UX,Production,Germany,7
SPITA016,Solaris,Production,Italy,16
LPIRL050,Linux,Production,Ireland,50
STDEU023,Solaris,Testing,Germany,23
LSDEU028,Linux,Staging,Germany,28
LINOR004,Linux,Integration,Norway,4
SDFRA003,Solaris,Development,France,3
LSIRL036,Linux,Staging,Ireland,36
LSITA019,Linux,Staging,Italy,19
ASITA010,AIX,Staging,Italy,10
APFRA008,AIX,Production,France,8
SSESP015,Solaris,Staging,Spain,15
SIFRA003,Solaris,Integration,France,3
SSIRL027,Solaris,Staging,Ireland,27
LTITA024,Linux,Testing,Italy,24
APIRL026,AIX,Production,Ireland,26
SDIRL010,Solaris,Development,Ireland,10
APDEU014,AIX,Production,Germany,14
SSESP016,Solaris,Staging,Spain,16
ASFRA008,AIX,Staging,France,8
LPDEU029,Linux,Production,Germany,29
SPIRL031,Solaris,Production,Ireland,31
LTITA025,Linux,Testing,Italy,25
SPITA017,Solaris,Production,Italy,17
LPESP031,Linux,Production,Spain,31
HTDEU008,HP-UX,Testing,Germany,8
ATIRL010,AIX,Testing,Ireland,10
SSNOR002,Solaris,Staging,Norway,2
ASESP010,AIX,Staging,Spain,10
LSIRL037,Linux,Staging,Ireland,37
STFRA005,Solaris,Testing,France,5
LSDEU029,Linux,Staging,Germany,29
HTIRL013,HP-UX,Testing,Ireland,13
SSITA022,Solaris,Staging,Italy,22
STIRL029,Solaris,Testing,Ireland,29
SDNOR006,Solaris,Development,Norway,6
SPITA018,Solaris,Production,Italy,18
LPITA024,Linux,Production,Italy,24
SSDEU016,Solaris,Staging,Germany,16
HPDEU008,HP-UX,Production,Germany,8
SPIRL032,Solaris,Production,Ireland,32
LDIRL009,Linux,Development,Ireland,9
SIFRA004,Solaris,Integration,France,4
AIESP005,AIX,Integration,Spain,5
LSIRL038,Linux,Staging,Ireland,38
LPIRL051,Linux,Production,Ireland,51
HSESP010,HP-UX,Staging,Spain,10
LSESP018,Linux,Staging,Spain,18
SSITA023,Solaris,Staging,Italy,23
APIRL027,AIX,Production,Ireland,27
APITA011,AIX,Production,Italy,11
LSDEU030,Linux,Staging,Germany,30
APDEU015,AIX,Production,Germany,15
LDIRL010,Linux,Development,Ireland,10
LDITA007,Linux,Development,Italy,7
LTITA026,Linux,Testing,Italy,26
ADESP004,AIX,Development,Spain,4
STDEU024,Solaris,Testing,Germany,24
STITA015,Solaris,Testing,Italy,15
LPIRL052,Linux,Production,Ireland,52
LDIRL011,Linux,Development,Ireland,11
APDEU016,AIX,Production,Germany,16
APDEU017,AIX,Production,Germany,17
SSDEU017,Solaris,Staging,Germany,17
ADDEU002,AIX,Development,Germany,2
HSDEU004,HP-UX,Staging,Germany,4
LPITA025,Linux,Production,Italy,25
SDITA008,Solaris,Development,Italy,8
AIFRA002,AIX,Integration,France,2
HSIRL006,HP-UX,Staging,Ireland,6
SIIRL024,Solaris,Integration,Ireland,24
LDNOR004,Linux,Development,Norway,4
SSESP017,Solaris,Staging,Spain,17
APIRL028,AIX,Production,Ireland,28
LTIRL035,Linux,Testing,Ireland,35
ATESP016,AIX,Testing,Spain,16
LSITA020,Linux,Staging,Italy,20
LTDEU022,Linux,Testing,Germany,22
SPESP020,Solaris,Production,Spain,20
LTITA027,Linux,Testing,Italy,27
SSIRL028,Solaris,Staging,Ireland,28
LDDEU016,Linux,Development,Germany,16
LIIRL019,Linux,Integration,Ireland,19
LSITA021,Linux,Staging,Italy,21
SPDEU020,Solaris,Production,Germany,20
LSDEU031,Linux,Staging,Germany,31
STITA016,Solaris,Testing,Italy,16
LSDEU032,Linux,Staging,Germany,32
HTFRA003,HP-UX,Testing,France,3
LSITA022,Linux,Staging,Italy,22
APESP019,AIX,Production,Spain,19
LTIRL036,Linux,Testing,Ireland,36
LPIRL053,Linux,Production,Ireland,53
LPDEU030,Linux,Production,Germany,30
ASESP011,AIX,Staging,Spain,11
APDEU018,AIX,Production,Germany,18
LTIRL037,Linux,Testing,Ireland,37
LIITA012,Linux,Integration,Italy,12
LPFRA012,Linux,Production,France,12
SPIRL033,Solaris,Production,Ireland,33
SIESP007,Solaris,Integration,Spain,7
APIRL029,AIX,Production,Ireland,29
ASFRA009,AIX,Staging,France,9
LDIRL012,Linux,Development,Ireland,12
AIDEU006,AIX,Integration,Germany,6
LPITA026,Linux,Production,Italy,26
SIFRA005,Solaris,Integration,France,5
SSITA024,Solaris,Staging,Italy,24
ASIRL024,AIX,Staging,Ireland,24
ATIRL011,AIX,Testing,Ireland,11
LPIRL054,Linux,Production,Ireland,54
LSIRL039,Linux,Staging,Ireland,39
AIIRL015,AIX,Integration,Ireland,15
ASFRA010,AIX,Staging,France,10
APESP020,AIX,Production,Spain,20
APESP021,AIX,Production,Spain,21
APFRA009,AIX,Production,France,9
HTIRL014,HP-UX,Testing,Ireland,14
SSDEU018,Solaris,Staging,Germany,18
ASNOR005,AIX,Staging,Norway,5
HTDEU009,HP-UX,Testing,Germany,9
LDESP008,Linux,Development,Spain,8
LSESP019,Linux,Staging,Spain,19
STESP016,Solaris,Testing,Spain,16
HDDEU004,HP-UX,Development,Germany,4
SPIRL034,Solaris,Production,Ireland,34
SPESP021,Solaris,Production,Spain,21
APITA012,AIX,Production,Italy,12
LIDEU014,Linux,Integration,Germany,14
SPITA019,Solaris,Production,Italy,19
APITA013,AIX,Production,Italy,13
SSNOR003,Solaris,Staging,Norway,3
SIIRL025,Solaris,Integration,Ireland,25
SPESP022,Solaris,Production,Spain,22
LTIRL038,Linux,Testing,Ireland,38
HPESP004,HP-UX,Production,Spain,4
HTDEU010,HP-UX,Testing,Germany,10
HSESP011,HP-UX,Staging,Spain,11
HIIRL002,HP-UX,Integration,Ireland,2
ADITA003,AIX,Development,Italy,3
SSIRL029,Solaris,Staging,Ireland,29
SDFRA004,Solaris,Development,France,4
STITA017,Solaris,Testing,Italy,17
STDEU025,Solaris,Testing,Germany,25
HTESP014,HP-UX,Testing,Spain,14
LSFRA010,Linux,Staging,France,10
STIRL030,Solaris,Testing,Ireland,30
LIDEU015,Linux,Integration,Germany,15
LPIRL055,Linux,Production,Ireland,55
SSIRL030,Solaris,Staging,Ireland,30
LSDEU033,Linux,Staging,Germany,33
LTDEU023,Linux,Testing,Germany,23
LPDEU031,Linux,Production,Germany,31
LIESP008,Linux,Integration,Spain,8
SSITA025,Solaris,Staging,Italy,25
LTITA028,Linux,Testing,Italy,28
ASITA011,AIX,Staging,Italy,11
SPFRA011,Solaris,Production,France,11
SPDEU021,Solaris,Production,Germany,21
